path,archetype
ArtemisArt/afro - afro-basaldella_1912/afro_1.jpg,12
ArtemisArt/agutte - agutte-georgette_1867/agutte_10.jpg,15
ArtemisArt/agutte - agutte-georgette_1867/agutte_6.jpg,14
ArtemisArt/albers - josef-albers_1888/albers_13.jpg,6
ArtemisArt/albers - josef-albers_1888/albers_3.jpg,15
ArtemisArt/alechinsky - pierre-alechinsky_1927/alechinsky_2.jpg,9
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_1.jpg,14
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_17.jpg,14
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_24.jpg,14
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_31.jpg,12
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_5.jpg,14
ArtemisArt/amiet - cuno-amiet_1868/amiet_2.jpg,9
ArtemisArt/andre - albert-andre_1869/andre_1.jpg,14
ArtemisArt/andre - albert-andre_1869/andre_9.jpg,14
ArtemisArt/appel - karel-appel_1921/appel_16.jpg,14
ArtemisArt/appel - karel-appel_1921/appel_5.jpg,15
ArtemisArt/arman - armand-fernandez-dit-arman_1928/arman_3.jpg,10
ArtemisArt/arp - hans-peter-wilhelm-arp-dit-jean-arp_1886/arp_10.jpg,14
ArtemisArt/arp - hans-peter-wilhelm-arp-dit-jean-arp_1886/arp_18.jpg,12
ArtemisArt/arp - hans-peter-wilhelm-arp-dit-jean-arp_1886/arp_3.jpg,14
ArtemisArt/asse - genevieve-anne-marie-bodin-dite-genevieve-asse_1923/asse_2.jpg,14
ArtemisArt/avril - armand-avril_1926/avril_1.jpg,14
ArtemisArt/avril - armand-avril_1926/avril_8.jpg,14
ArtemisArt/backer - harriet-backer_1845/backer_15.jpg,14
ArtemisArt/backer - harriet-backer_1845/backer_22.jpg,14
ArtemisArt/backer - harriet-backer_1845/backer_3.jpg,12
ArtemisArt/backer - harriet-backer_1845/backer_37.jpg,14
ArtemisArt/bacon - francis-bacon_1909/bacon_10.jpg,14
ArtemisArt/bacon - francis-bacon_1909/bacon_18.jpg,14
ArtemisArt/bacon - francis-bacon_1909/bacon_25.jpg,14
ArtemisArt/bacon - francis-bacon_1909/bacon_32.jpg,15
ArtemisArt/bacon - francis-bacon_1909/bacon_4.jpg,10
ArtemisArt/bacon - francis-bacon_1909/bacon_47.jpg,13
ArtemisArt/bacon - francis-bacon_1909/bacon_54.jpg,14
ArtemisArt/bacon - francis-bacon_1909/bacon_61.jpg,14
ArtemisArt/bacon - francis-bacon_1909/bacon_69.jpg,14
ArtemisArt/bacon - francis-bacon_1909/bacon_76.jpg,12
ArtemisArt/bacon - francis-bacon_1909/bacon_83.jpg,14
ArtemisArt/balke - peder-balke_1804/balke_12.jpg,14
ArtemisArt/balke - peder-balke_1804/balke_4.jpg,14
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_11.jpg,14
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_19.jpg,13
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_26.jpg,9
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_33.jpg,10
ArtemisArt/baselitz - georg-baselitz_1938/baselitz_8.jpg,14
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_15.jpg,12
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_22.jpg,12
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_3.jpg,12
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_37.jpg,14
ArtemisArt/basquiat - jean-michel-basquiat_1960/basquiat_44.jpg,13
ArtemisArt/bassano-f - francesco-bassano-le-Jeune_1549/bassano-f_11.jpg,14
ArtemisArt/bassano-f - francesco-bassano-le-Jeune_1549/bassano-f_19.jpg,14
ArtemisArt/bassano-f - francesco-bassano-le-Jeune_1549/bassano-f_6.jpg,14
ArtemisArt/bassano-j - jacopo-da-ponte-dit-bassano_1510/bassano-j_13.jpg,10
ArtemisArt/bassano-j - jacopo-da-ponte-dit-bassano_1510/bassano-j_20.jpg,14
ArtemisArt/bassano-j - jacopo-da-ponte-dit-bassano_1510/bassano-j_4.jpg,14
ArtemisArt/baudry - paul-baudry_1828/baudry_3.jpg,15
ArtemisArt/bazille - frederic-bazille_1841/bazille_10.jpg,14
ArtemisArt/bazille - frederic-bazille_1841/bazille_18.jpg,14
ArtemisArt/bazille - frederic-bazille_1841/bazille_5.jpg,14
ArtemisArt/bellini - giovanni-bellini_1435/bellini_12.jpg,14
ArtemisArt/bellini - giovanni-bellini_1435/bellini_2.jpg,14
ArtemisArt/bellini - giovanni-bellini_1435/bellini_27.jpg,14
ArtemisArt/bellini - giovanni-bellini_1435/bellini_9.jpg,14
ArtemisArt/berard - christian-berard_1902/berard_6.jpg,9
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_13.jpg,15
ArtemisArt/bergman - anna-eva-bergman_1909/bergman_20.jpg,14
